Eksponeringer;CPM (pris pr. 1000 eksponeringer)
62;61,4516129
24;38,33333333
0;
76;88,42105263
2;75
5;56
18;61,66666667
6;71,66666667
21;63,33333333
0;
123;50,20557359
0;
191;69,73229856
28;81,23868747
131;57,04224433
53;49,13044754
433;55,77522181
49;74,55360785
552;65,43644315
0;
28;62,18434343
148;59,558945
391;62,79580096
8;87,05808081
39;74,23853924
12;48,08922559
0;
348;55,34575206
48;69,82908847
1;50
63;104,44444444
55;76
583;114,08233276
10;125
546;105,97069597
0;
34;185,88235294
2;10
0;
7;115,71428571
43;112,79069767
2;65
16;128,125
269;93,75464684
20;75,5
185;132,27027027
2;185
814;131,67076167
92;103,26086957
18;143,33333333
3;180
0;
50;69,2
0;
9;105,55555556
415;121,78313253
571;93,83537653
27;97,40740741
81;108,51851852
10;163
6;150
5;122
1;100
0;
88;117,61363636
729;114,74622771
106;114,05660377
1;610
125;102,96
4;207,5
4;75
11;627,27272727
0;
12;99,16666667
1;170
1;120
2;245
2;450
2;280
0;
32;98,4375
3;583,33333333
30;104
286;119,93006993
413;111,937046
135;308,14814815
157;116,68789809
107;284,57943925
11;224,54545455
37;349,45945946
0;
0;
3;130
7;67,14285714
3;250
25;80,8
1;40
827;133,59129383
94;104,25531915
920;106,69565217
0;
22;73,63636364
82;106,82926829
3;80
15;240
51;221,76470588
26;204,61538462
196;308,92857143
101;122,07920792
1067;121,13402062
23;90
0;
6;150
0;
4;257,5
2;140
159;403,08176101
1;30
1049;101,00095329
0;
96;100,41666667
8;230
2;1605
239;107,0292887
3;333,33333333
150;87,13333333
122;119,42622951
13;47,69230769
1;230
10;55
3;86,66666667
4;37,5
0;
6;111,66666667
19;133,15789474
20;74
268;102,68656716
1;210
8;77,5
0;
1;60
7;111,42857143
229;110,48034934
19;48,94736842
0;
200;116,4
3;366,66666667
22;62,72727273
160;88
164;86,03658537
11;76,36363636
4;62,5
2;140
34;89,70588235
2;185
1;60
3;506,66666667
3;296,66666667
16;415,625
0;
7;522,85714286
28;236,07142857
0;
83;241,92771084
125;79,92
68;342,05882353
19;322,63157895
1195;91,62343096
1292;105,55727554
3;143,33333333
115;83,91304348
0;
11;341,81818182
4;170
1;130
905;129,66611403
31;110,14469415
74;97,71182725
84;98,51316763
13;112,30769231
227;123,17180617
23;111,73913043
7;51,42857143
1;260
0;
0;
1;90,3834402
273;117,87545788
1;49,04990403
197;120,1100188
248;96,99222958
1;196,19961612
9;152,59970143
18;98,644807
0;
0;
939;103,30299952
4;200
7;85,71428571
127;110,78740157
120;120,41666667
15;133,33333333
0;
95;100,311757
23;106,3057892
1066;122,03357263
1108;105,96723323
109;113,9961313
0;
1;140,28878739
0;
3;55,97121777
45;117,55555556
0;
618;105,25889968
4;160,50569801
177;153,62787887
142;115,11892966
6;120,17349697
0;
0;
3;123,33333333
0;
1;90
2;45
0;
3;73,33333333
16;101,875
31;138,06451613
952;54,29621849
3;136,66666667
289;53,87543253
1;120
0;
40;124
10;54
101;134,95049505
9;92,22222222
99;102,62626263
3;53,33333333
44;107,95454545
0;
167;84,5508982
4;57,5
15;96
0;
6;60
21;80,95238095
218;110,13761468
26;135
268;109,6641791
26;70
150;91,73333333
19;90,52631579
117;84,78632479
126;86,34920635
3;173,33333333
0;
251;85,25896414
126;67,93650794
4;75
1132;94,49646643
1211;108,53839802
0;
111;106,30630631
10;141
4;145
105;115,14285714
9;38,88888889
0;
1;90
0;
25;66,8
137;78,39416058
1490;86,65100671
151;99,93377483
1510;103,39072848
0;
64;78,59375
298;76,24161074
176;61,875
0;
78;87,82051282
8;53,75
6;111,66666667
1;10
7;151,42857143
0;
32;83,75
1769;78,17976258
1626;87,87822878
0;
1;40
7;104,28571429
0;
160;75,5625
4;55
2;130
104;83,26923077
8;63,75
115;110,26086957
154;85,38961039
6;138,33333333
168;72,20238095
1;50
303;73,43234323
6;63,33333333
8;82,5
88;86,93181818
107;86,44859813
0;
184;87,9787234
103;97,30221029
5;66,55319149
26;43,66612111
6;63,61702128
3;86,66666667
5;78
0;
4;160,10338667
0;
1521;78,07803226
1367;88,2574311
161;70,16953554
115;80,74779502
29;90,74825581
2;90
2;95
1;110
7;104,28571429
0;
0;
3;77,25899912
19;73,19273601
20;61,47129061
259;84,62564534
300;108,73364355
268;89,47761194
163;65,88957055
1;50
202;67,02970297
113;57,16814159
0;
121;59,83471074
67;43,58208955
0;
92;84,67391304
21;152,38095238
875;109,61142857
895;81,36312849
92;70,10869565
4;86,55963303
7;49,46264744
0;
2;42,11009174
0;
6;86,66666667
5;62
5;26
1;80
149;88,52348993
0;
2;20
2;65
77;71,55844156
201;67,23863717
115;102,69565217
1;80,14805676
2;65,12029611
13;44,69795473
0;
0;
289;58,10040792
139;72,08633094
219;53,70651748
314;67,32181519
6;118,33333333
18;53,43203784
2;75
39;71,53846154
58;85,34482759
16;71,875
6;40,55045872
1;101,25
19;92,10526316
202;91,23762376
12;130
4;25
0;
3;25,3125
1;92,8125
148;100
202;94,75247525
21;67,61904762
1;20
0;
122;56,63934426
12;58,33333333
9;124,44444444
221;98,68778281
1069;113,18054256
0;
0;
21;82,38095238
82;65,24390244
1213;89,92580379
12;36,66666667
0;
31;89,03225806
16;100
0;
9;68,88888889
122;103,1147541
16;95
92;97,39130435
0;
284;90,31690141
227;100,79295154
14;65
26;88,07692308
4;92,5
142;65,84507042
262;69,3129771
162;90,12345679
3;23,33333333
6;63,33333333
144;114,44444444
0;
7;47,14285714
1;40
0;
26;66,53846154
178;72,13483146
385;91,42857143
1504;87,34707447
7;40,53268765
20;82,75423729
10;28,37288136
8;105
280;106,21428571
14;40,53268765
0;
160;82,3125
24;151,66666667
945;99,15343915
88;88,29545455
3;36,66666667
7;52,55159825
0;
237;77,56699928
222;66,0196584
267;61,7452792
222;73,04024294
13;43,19017994
9;97,77777778
11;56,65909091
13;40,83974359
14;49,46428571
18;51,2962963
1;150
1;10
2;40
3;56,66666667
33;75,15151515
18;44,49344949
308;58,79139201
277;73,65689389
1;20
13;67,69230769
0;
1;210
6;50
13;36,81352951
217;52,84003455
0;
263;55,18458625
2;40
652;101,94785276
15;102,66666667
21;93,80952381
626;91,19808307
245;110,57142857
280;92,17857143
75;111,73333333
51;105,68627451
0;
2;20
3;47,02542151
389;53,15104976
17;48,60610795
0;
464;53,3162299
37;54,1972522
618;64,27677239
406;51,05451726
534;50,91275571
0;
548;70,43326516
23;76,04113111
353;58,05901673
3;26,66666667
532;65,29640296
17;60,30848329
1;20,10282776
1;19,39759036
2;45,26104418
6;89,44444444
6;64,65863454
12;47,95515395
1;50
1;60
4;40
20;72,5
1;91,17647059
1;82,35294118
1;61,76470588
434;82,39631336
0;
615;110,04878049
47;82,76595745
4;35
0;
90;75
8;88,75
944;81,49364407
1;110
0;
17;40,58823529
2;35
2;30
10;64
0;
3;26,66666667
759;115,98155468
0;
55;97,09090909
88;79,43181818
941;97,21572795
8;126,25
0;
1;49,7334615
0;
7;41,73076923
11;61,96386946
12;40,5715812
17;41,73076923
1;180
4;25
4;47,5
0;
4;40
13;61,53846154
29;92,4137931
21;45,23809524
508;67,24409449
519;76,31984586
381;52,93963255
380;54,28947368
0;
0;
1;40
3;46,66666667
7;38,57142857
10;31
4;50
2;35
11;147,27272727
2;65
36;76,94444444
20;57,19348073
1;59,68015381
419;105,34606205
0;
28;71,07142857
13;136,92307692
3;73,33333333
4;116,87363454
19;44,49836029
0;
706;60,52548176
10;99
262;106,41221374
345;93,85507246
569;48,59719613
414;42,23740354
473;49,43905624
0;
455;93,18681319
3;46,66666667
45;104,88888889
46;86,73913043
627;106,3476874
643;87,79160187
1;40
0;
6;78,33333333
59;68,98305085
0;
1;50
26;61,53846154
25;47,2
80;37,625
122;45,40983607
701;90,61340942
12;71,66666667
46;84,7826087
78;104,74358974
629;109,3799682
7;64,28571429
1;30
75;52,66666667
20;70,5
320;106,03125
495;56,54545455
25;52
482;44,58506224
0;
22;47,27272727
3;30
3;26,66666667
1;40
0;
423;44,8463357
647;59,07264297
74;48,24324324
22;38,18181818
480;47,72916667
22;43,18181818
1;150
0;
19;76,84210526
11;55,45454545
28;74,28571429
85;48,47058824
38;46,05263158
9;50
5;52
4;37,5
1;40
1;50
0;
463;44,62203024
573;63,2460733
370;91,7027027
431;54,84918794
11;65,45454545
11;59,09090909
1;40
0;
37;68,91891892
33;48,78787879
18;62,22222222
9;66,66666667
0;
0;
9;208,88888889
3;363,33333333
3;333,33333333
2;80
1;390
132;290,53030303
1;140
1;70
215;14,74418605
30;303,33333333
117;257,60683761
65;315,38461538
46;336,08695652
1;170
4;222,5
5;194
7;190
8;296,25
14;443,57142857
42;169,04761905
14;351,42857143
11;241,81818182
778;23,7403599
5;216
26;231,15384615
4;455
3;546,66666667
13;342,30769231
1;170
1;180
4695;16,68157614
43;254,88372093
6;166,66666667
5;356
3;173,33333333
1;110
1;20
6;128,33333333
2;210
3;530
1;70
16;306,875
21;140,95238095
1;130
2;155
12;201,66666667
23;273,91304348
9;358,88888889
1;170
27;573,33333333
63;408,88888889
2;400
8;291,25
3;73,33333333
9;231,11111111
1;180
6;215
4;435
29;273,10344828
7;177,14285714
13;439,23076923
149;263,69127517
19;208,94736842
1;170
35;112,85714286
139;278,92086331
3;266,66666667
3;520
2;435
2;490
1;150
12;338,33333333
27;204,44444444
1;40
1;50
1;90
18;133,88888889
1;190
1;290
1;110
1;110
42;269,04761905
36;211,94444444
2;140
